material_id,energy,energy_per_atom,band_gap,total_magnetization,0,1,2,3,4,5,6,7,8,9,10,11,12,13
mp-1184036,-23.16295423,-2.89536927875,0.0,4.135e-05,16.5,0.5,-7.5,-1.5,4.0,-2.0,7.0,-1.0,8.0,4.0,3.3646286671879384,0.5854715141827935,2.774738307334292,-7.070317442625651e-06
mp-1699,-23.40811618,-7.8027053933333335,0.007200000000000095,0.0,13.0,3.0,-6.0,-4.0,1.5,-0.5,4.0,0.0,7.5,2.5,2.720155379283552,0.28384461688066365,2.638370968428463,-7.711544736110909e-10
mp-1186946,-30.72944234,-7.682360585,0.0,21.9668234,7.5,1.5,3.5,-0.5,2.0,1.0,8.666666666666666,-3.3333333333333335,6.333333333333334,-1.6666666666666665,5.070500121995005,-1.218989836702917,3.950815404410074,0.09930511911798523
mp-24289,-8.69639175,-4.348195875,0.0,1.2e-06,8.5,6.5,-2.5,-2.5,1.0,-0.0,12.0,-0.0,6.0,-0.0,2.8885312,-0.0,2.042499998842642,-0.0
mp-669340,-80.14859688,-1.9082999257142856,2.3451,2.7014285714285712e-05,19.5,2.5,-9.5,-2.5,21.0,7.0,9.0,3.0,4.5,-1.5,4.221581821500013,-0.01841817849998817,2.9851765376876673,7.866251970201077e-05
mp-1186670,-30.19189155,-7.5479728875,0.0,4.6636898,14.5,4.5,-3.5,-7.5,2.0,1.0,7.0,1.0,8.0,-4.0,3.4139159907429244,-0.585742009257076,2.828179637867749,5.65638190108686e-06
mp-1188934,-140.50685214,-8.78167825875,0.0,35.00791495,13.5,4.5,-3.5,-6.5,8.0,-2.0,4.066666666666666,-0.7333333333333332,6.4,1.6,3.4178364264972787,-0.1361049878263907,3.1608231201884114,0.013889939549627695
mp-1738,-12.42437084,-6.21218542,0.0,0.0,14.0,5.0,-4.0,-7.0,1.0,0.0,12.0,0.0,6.0,0.0,4.18607214,0.0,2.959999997417723,0.0
mp-570229,-45.35679102,-4.5356791020000005,2.82,0.0,15.5,5.5,-4.5,-8.5,5.0,3.0,3.0,-1.0,3.0,-1.0,3.5978764223188637,-1.2927438278083967,3.2464192148407474,0.41706728806905136
mp-1186132,-7.09487241,-1.7737181025,0.0,0.0190659,5.0,1.0,2.0,-0.0,2.0,1.0,6.0,2.0,8.0,-4.0,4.341439404656574,-0.7103245953434325,3.631123436461441,0.0589868550901711
